Fecha,Nombre,Precio
2024-01-01,GDAES_D+1,30.96
2024-01-02,GDAES_D+1,30.75
2024-01-03,GDAES_D+1,31.59
2024-01-04,GDAES_D+1,32.4
2024-01-05,GDAES_D+1,33.05
2024-01-06,GDAES_D+1,34.79
2024-01-07,GDAES_D+1,36.82
2024-01-08,GDAES_D+1,32.11
2024-01-09,GDAES_D+1,31.16
2024-01-10,GDAES_D+1,30.68
2024-01-11,GDAES_D+1,30.31
2024-01-12,GDAES_D+1,30.68
2024-01-13,GDAES_D+1,32.36
2024-01-14,GDAES_D+1,32.49
2024-01-15,GDAES_D+1,29.42
2024-01-16,GDAES_D+1,28.69
2024-01-17,GDAES_D+1,27.06
2024-01-18,GDAES_D+1,27.11
2024-01-19,GDAES_D+1,27.86
2024-01-20,GDAES_D+1,28.39
2024-01-21,GDAES_D+1,27.9
2024-01-22,GDAES_D+1,26.68
2024-01-23,GDAES_D+1,26.91
2024-01-24,GDAES_D+1,27.52
2024-01-25,GDAES_D+1,27.2
2024-01-26,GDAES_D+1,26.68
2024-01-27,GDAES_D+1,27.36
2024-01-28,GDAES_D+1,27.73
2024-01-29,GDAES_D+1,27.84
2024-01-30,GDAES_D+1,28.18
2024-01-31,GDAES_D+1,29.15
2024-02-01,GDAES_D+1,28.11
2024-02-02,GDAES_D+1,27.93
2024-02-03,GDAES_D+1,28.54
2024-02-04,GDAES_D+1,29.45
2024-02-05,GDAES_D+1,27.97
2024-02-06,GDAES_D+1,27.66
2024-02-07,GDAES_D+1,27.41
2024-02-08,GDAES_D+1,27.01
2024-02-09,GDAES_D+1,26.43
2024-02-10,GDAES_D+1,26.16
2024-02-11,GDAES_D+1,25.96
2024-02-12,GDAES_D+1,25.5
2024-02-13,GDAES_D+1,25.29
2024-02-14,GDAES_D+1,24.43
2024-02-15,GDAES_D+1,24.6
2024-02-16,GDAES_D+1,24.38
2024-02-17,GDAES_D+1,24.99
2024-02-18,GDAES_D+1,24.42
2024-02-19,GDAES_D+1,23.52
2024-02-20,GDAES_D+1,23.56
2024-02-21,GDAES_D+1,23.66
2024-02-22,GDAES_D+1,23.24
2024-02-23,GDAES_D+1,22.43
2024-02-24,GDAES_D+1,23.57
2024-02-25,GDAES_D+1,23.49
2024-02-26,GDAES_D+1,23.43
2024-02-27,GDAES_D+1,23.69
2024-02-28,GDAES_D+1,24.95
2024-02-29,GDAES_D+1,24.52
2024-03-01,GDAES_D+1,25.11
2024-03-02,GDAES_D+1,25.04
2024-03-03,GDAES_D+1,25.14
2024-03-04,GDAES_D+1,25.57
2024-03-05,GDAES_D+1,27.5
2024-03-06,GDAES_D+1,27.15
2024-03-07,GDAES_D+1,26.05
2024-03-08,GDAES_D+1,26.23
2024-03-09,GDAES_D+1,26.94
2024-03-10,GDAES_D+1,27.11
2024-03-11,GDAES_D+1,25.26
2024-03-12,GDAES_D+1,24.66
2024-03-13,GDAES_D+1,24.85
2024-03-14,GDAES_D+1,25.26
2024-03-15,GDAES_D+1,26.63
2024-03-16,GDAES_D+1,27.85
2024-03-17,GDAES_D+1,27.99
2024-03-18,GDAES_D+1,28.68
2024-03-19,GDAES_D+1,28.68
2024-03-20,GDAES_D+1,28.19
2024-03-21,GDAES_D+1,26.86
2024-03-22,GDAES_D+1,26.93
2024-03-23,GDAES_D+1,27.48
2024-03-24,GDAES_D+1,27.28
2024-03-25,GDAES_D+1,28.34
2024-03-26,GDAES_D+1,27.37
2024-03-27,GDAES_D+1,27.35
2024-03-28,GDAES_D+1,27.72
2024-03-29,GDAES_D+1,27.67
2024-03-30,GDAES_D+1,28.2
2024-03-31,GDAES_D+1,28.98
2024-04-01,GDAES_D+1,30.37
2024-04-02,GDAES_D+1,27.02
2024-04-03,GDAES_D+1,26.04
2024-04-04,GDAES_D+1,26.39
2024-04-05,GDAES_D+1,26.78
2024-04-06,GDAES_D+1,27.31
2024-04-07,GDAES_D+1,27.54
2024-04-08,GDAES_D+1,27.32
2024-04-09,GDAES_D+1,28.07
2024-04-10,GDAES_D+1,27.82
2024-04-11,GDAES_D+1,29.26
2024-04-12,GDAES_D+1,30.68
2024-04-13,GDAES_D+1,30.15
2024-04-14,GDAES_D+1,31.03
2024-04-15,GDAES_D+1,30.73
2024-04-16,GDAES_D+1,32.74
2024-04-17,GDAES_D+1,31.38
2024-04-18,GDAES_D+1,31.8
2024-04-19,GDAES_D+1,31.83
2024-04-20,GDAES_D+1,30.41
2024-04-21,GDAES_D+1,30.64
2024-04-22,GDAES_D+1,29.52
2024-04-23,GDAES_D+1,28.84
2024-04-24,GDAES_D+1,28.99
2024-04-25,GDAES_D+1,30.01
2024-04-26,GDAES_D+1,29.84
2024-04-27,GDAES_D+1,29.97
2024-04-28,GDAES_D+1,30.0
2024-04-29,GDAES_D+1,28.37
2024-04-30,GDAES_D+1,29.3
2024-05-01,GDAES_D+1,29.15
2024-05-02,GDAES_D+1,30.48
2024-05-03,GDAES_D+1,31.07
2024-05-04,GDAES_D+1,29.7
2024-05-05,GDAES_D+1,30.4
2024-05-06,GDAES_D+1,31.75
2024-05-07,GDAES_D+1,31.14
2024-05-08,GDAES_D+1,30.43
2024-05-09,GDAES_D+1,30.87
2024-05-10,GDAES_D+1,30.95
2024-05-11,GDAES_D+1,30.14
2024-05-12,GDAES_D+1,30.24
2024-05-13,GDAES_D+1,29.52
2024-05-14,GDAES_D+1,29.75
2024-05-15,GDAES_D+1,30.02
2024-05-16,GDAES_D+1,30.49
2024-05-17,GDAES_D+1,30.98
2024-05-18,GDAES_D+1,31.73
2024-05-19,GDAES_D+1,31.73
2024-05-20,GDAES_D+1,32.13
2024-05-21,GDAES_D+1,32.73
2024-05-22,GDAES_D+1,34.36
2024-05-23,GDAES_D+1,35.7
2024-05-24,GDAES_D+1,34.97
2024-05-25,GDAES_D+1,34.72
2024-05-26,GDAES_D+1,34.36
2024-05-27,GDAES_D+1,35.12
2024-05-28,GDAES_D+1,34.35
2024-05-29,GDAES_D+1,34.22
2024-05-30,GDAES_D+1,34.84
2024-05-31,GDAES_D+1,35.42
2024-06-01,GDAES_D+1,34.2
2024-06-02,GDAES_D+1,34.62
2024-06-03,GDAES_D+1,36.91
2024-06-04,GDAES_D+1,35.39
2024-06-05,GDAES_D+1,34.19
2024-06-06,GDAES_D+1,33.99
2024-06-07,GDAES_D+1,33.69
2024-06-08,GDAES_D+1,33.72
2024-06-09,GDAES_D+1,34.11
2024-06-10,GDAES_D+1,33.79
2024-06-11,GDAES_D+1,34.83
2024-06-12,GDAES_D+1,35.31
2024-06-13,GDAES_D+1,36.17
2024-06-14,GDAES_D+1,35.53
2024-06-15,GDAES_D+1,34.42
2024-06-16,GDAES_D+1,34.73
